DTMNFR;ORGAO;TIPO;SIGLA;SIMBOLO;NOME_LISTA;NUM_ORDEM;NOME_CANDIDATO;PARTIDO_PROPONENTE;INDEPENDENTE
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;141;Maria Quitéria Chefe Marques;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;142;Henrique Marques Elvas Martins;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;143;Daniel José Félix da Costa;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;144;Daniela de Jesus Pires da Silva;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;145;Emanuel Melo de Sousa;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;146;Silvestre Tomé Lopes;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;147;Ana Paula Barrosa Ludovico Costa;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;148;Luzia Maria dos Santos Oliveira;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;149;Rui Filipe Soares Waddington Rebelo;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;150;Maria Teresa Seixas Dantas;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;151;Célia Sofia Goes Custódio Fonseca;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;152;José António Borges Telhado;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;153;Mariana Rita Potra Colaço;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;154;Pedro Manuel Monteiro da Rosa;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;155;Tânia Patrícia da Gama Maia;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;156;Teresa Maria Ferreira de Almeida Monteiro;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;157;Tiago Fernandes de Moura;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;158;José Manuel Santos de Moura;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;159;Beatriz Rita de Cássia Jorge Borges;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;160;José Santos Monteiro de Moura;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;161;Isabel Maria de Mata Mouzinho;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;162;Paulo Jorge Neto Dias;PAN;N
